Start Time,End Time,Model Name,Agent Name,Exam Name,Temperature,Questions,Accuracy,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question,Num Correct,Num Incorrect,Num Errors
2024-06-11 16:49:23,2024-06-11 21:01:48,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.0,100,0.79,61827,285090,346917,3469.17,22.309155,0.22309155,15145.188938,151.45188937999998,79,21,0
2024-06-11 21:01:48,2024-06-12 01:08:52,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.1,100,0.75,61827,283087,344914,3449.14,22.15893,0.2215893,14824.247499,148.24247499,75,25,0
2024-06-12 09:54:30,2024-06-12 13:51:45,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.2,100,0.78,61827,282801,344628,3446.28,22.13748,0.2213748,14234.749916,142.34749916,78,22,1
2024-06-12 15:02:30,2024-06-12 19:00:22,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.3,100,0.78,61827,281028,342855,3428.55,22.004505,0.22004505,14272.508826,142.72508826,78,22,0
2024-06-12 15:02:53,2024-06-12 19:01:17,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.4,100,0.77,61827,280009,341836,3418.36,21.928079999999998,0.21928079999999997,14304.100628,143.04100628,77,23,0
2024-06-12 15:03:17,2024-06-12 19:01:16,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.5,100,0.8,61827,280376,342203,3422.03,21.955605,0.21955605,14279.123971,142.79123971,80,20,0
2024-06-11 18:34:04,2024-06-11 22:44:07,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.6,100,0.77,61827,279998,341825,3418.25,21.927255,0.2192725499999999,15002.192998,150.02192998,77,23,1
2024-06-11 22:44:07,2024-06-12 02:45:20,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.7,100,0.79,61827,280247,342074,3420.74,21.94593,0.2194592999999999,14472.988717,144.72988717,79,21,0
2024-06-12 10:35:53,2024-06-12 14:27:14,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.8,100,0.78,61387,277002,338389,3383.89,21.695955,0.2169595499999999,13880.900637,138.80900637000002,78,22,1
2024-06-12 10:37:16,2024-06-12 14:33:42,claude-3-opus-20240229,chain_of_thought,comprehensive-100,0.9,100,0.75,61827,281539,343366,3433.66,22.04283,0.2204283,14186.774921,141.86774921,75,25,0
2024-06-12 10:39:41,2024-06-12 14:36:26,claude-3-opus-20240229,chain_of_thought,comprehensive-100,1.0,100,0.81,61827,281824,343651,3436.51,22.064205,0.22064205,14204.983417,142.04983417,81,19,0
2024-06-07 19:43:09,2024-06-07 20:46:20,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.0,100,0.63,54628,150820,205448,2054.48,2.426184,0.0242618399999999,3790.541675,37.90541675,63,37,2
2024-06-07 20:46:20,2024-06-07 21:48:55,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.1,100,0.63,54628,149033,203661,2036.61,2.399379,0.0239937899999999,3755.832024,37.55832024,63,37,1
2024-06-07 21:48:55,2024-06-07 23:49:28,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.2,100,0.65,54628,149979,204607,2046.07,2.413569,0.0241356899999999,7232.550304,72.32550304,65,35,1
2024-06-07 23:49:28,2024-06-08 00:50:30,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.3,100,0.65,54628,144154,198782,1987.82,2.326194,0.0232619399999999,3661.602037,36.61602037,65,35,2
2024-06-08 00:50:30,2024-06-08 01:52:02,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.4,100,0.64,53298,146227,199525,1995.25,2.353299,0.0235329899999999,3692.02643,36.9202643,64,36,4
2024-06-08 01:52:02,2024-06-08 02:54:57,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.5,100,0.65,54628,148999,203627,2036.27,2.398869,0.02398869,3775.683524,37.75683524,65,35,1
2024-06-08 02:54:57,2024-06-08 03:56:29,cohere-command-r-plus,chain_of_thought,comprehensive-100,0.6,100,0.62,52813,145735,198548,1985.48,2.344464,0.02344464,3691.19152,36.9119152,62,38,6
