Start Time,End Time,Experiment,Model,Temperature,Exam,Questions,Accuracy,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question
2023-10-21 07:31:42,2023-10-21 07:32:23,temp-0.0,gpt-35-turbo,0.0,lsat-rc-100,100,0.66,90157,6080,96237,962.37,0.1473955,0.001473955,40.539021,0.40539021
2023-10-21 07:32:23,2023-10-21 07:33:06,temp-0.1,gpt-35-turbo,0.1,lsat-rc-100,100,0.66,90157,6080,96237,962.37,0.1473955,0.001473955,43.203021,0.4320302099999999
2023-10-21 07:33:06,2023-10-21 07:33:50,temp-0.2,gpt-35-turbo,0.2,lsat-rc-100,100,0.66,90157,6081,96238,962.38,0.1473975,0.001473975,43.811673,0.43811673
2023-10-21 07:33:50,2023-10-21 07:34:36,temp-0.3,gpt-35-turbo,0.3,lsat-rc-100,100,0.66,90157,6096,96253,962.53,0.1474275,0.001474275,46.071391,0.46071391
2023-10-21 07:34:36,2023-10-21 07:35:16,temp-0.4,gpt-35-turbo,0.4,lsat-rc-100,100,0.66,90157,6094,96251,962.51,0.1474235,0.001474235,39.937265,0.3993726499999999
2023-10-21 07:35:16,2023-10-21 07:35:59,temp-0.5,gpt-35-turbo,0.5,lsat-rc-100,100,0.66,90157,6213,96370,963.7,0.1476615,0.001476615,42.659977,0.42659977
2023-10-21 07:35:59,2023-10-21 07:36:45,temp-0.6,gpt-35-turbo,0.6,lsat-rc-100,100,0.66,90157,6296,96453,964.53,0.1478275,0.001478275,46.493703,0.46493703
2023-10-21 07:36:45,2023-10-21 07:37:34,temp-0.7,gpt-35-turbo,0.7,lsat-rc-100,100,0.67,90157,6274,96431,964.31,0.1477835,0.001477835,48.874967,0.4887496699999999
2023-10-21 07:37:34,2023-10-21 07:38:22,temp-0.8,gpt-35-turbo,0.8,lsat-rc-100,100,0.68,90157,6496,96653,966.53,0.1482275,0.001482275,48.34603,0.4834603
2023-10-21 07:38:22,2023-10-21 07:39:09,temp-0.9,gpt-35-turbo,0.9,lsat-rc-100,100,0.66,90157,6962,97119,971.19,0.1491595,0.001491595,46.994431,0.46994431
2023-10-21 07:39:09,2023-10-21 07:39:55,temp-1.0,gpt-35-turbo,1.0,lsat-rc-100,100,0.67,90157,7008,97165,971.65,0.1492515,0.001492515,45.47092,0.4547092
