Start Time,End Time,Experiment,Model,Temperature,Exam,Questions,Accuracy,Input Tokens,Output Tokens,Total Tokens,Tokens per Question,Total Cost,Cost per Question,Runtime,Runtime per Question
2023-10-13 09:09:30,2023-10-13 09:17:33,temp-0.0,gpt-35-turbo,0.0,sat-math-100,100,0.73,60348,239850,300198,3001.98,0.570222,0.00570222,483.727857,4.83727857
2023-10-13 09:17:33,2023-10-13 09:27:56,temp-0.1,gpt-35-turbo,0.1,sat-math-100,100,0.81,60348,245091,305439,3054.39,0.580704,0.00580704,622.267478,6.22267478
2023-10-13 09:27:56,2023-10-13 09:39:33,temp-0.2,gpt-35-turbo,0.2,sat-math-100,100,0.86,60348,247668,308016,3080.16,0.585858,0.0058585799999999,697.224563,6.97224563
2023-10-13 09:39:33,2023-10-13 09:50:25,temp-0.3,gpt-35-turbo,0.3,sat-math-100,100,0.85,60348,246782,307130,3071.3,0.584086,0.00584086,652.458022,6.524580220000001
2023-10-13 09:50:25,2023-10-13 10:02:13,temp-0.4,gpt-35-turbo,0.4,sat-math-100,100,0.83,60348,246698,307046,3070.46,0.583918,0.00583918,707.845582,7.07845582
2023-10-13 10:02:13,2023-10-13 10:14:59,temp-0.5,gpt-35-turbo,0.5,sat-math-100,100,0.83,60348,254366,314714,3147.14,0.5992540000000001,0.00599254,766.112188,7.66112188
2023-10-13 10:14:59,2023-10-13 10:29:32,temp-0.6,gpt-35-turbo,0.6,sat-math-100,100,0.86,60348,250403,310751,3107.51,0.591328,0.00591328,872.455835,8.72455835
2023-10-13 10:29:32,2023-10-13 10:45:50,temp-0.7,gpt-35-turbo,0.7,sat-math-100,100,0.87,60348,249745,310093,3100.93,0.590012,0.00590012,977.988338,9.77988338
2023-10-13 10:45:50,2023-10-13 11:01:31,temp-0.8,gpt-35-turbo,0.8,sat-math-100,100,0.85,60348,257859,318207,3182.07,0.60624,0.0060624,941.306446,9.41306446
2023-10-13 11:01:31,2023-10-13 11:17:52,temp-0.9,gpt-35-turbo,0.9,sat-math-100,100,0.83,60348,256780,317128,3171.28,0.604082,0.00604082,981.20559,9.8120559
2023-10-13 11:17:52,2023-10-13 11:34:19,temp-1.0,gpt-35-turbo,1.0,sat-math-100,100,0.86,60348,261147,321495,3214.95,0.612816,0.00612816,986.363342,9.86363342
2023-10-14 10:28:08,2023-10-14 11:09:38,temp-0.0,gpt-4,0.0,sat-math-100,100,0.93,59380,277810,337190,3371.9,18.45,0.1845,2490.423926,24.90423926
2023-10-14 11:09:38,2023-10-14 11:52:06,temp-0.1,gpt-4,0.1,sat-math-100,100,0.94,59948,284110,344058,3440.58,18.84504,0.1884503999999999,2547.740985,25.47740985
2023-10-14 11:52:06,2023-10-14 12:55:13,temp-0.2,gpt-4,0.2,sat-math-100,100,0.94,58851,274271,333122,3331.22,18.22179,0.1822179,3786.793332,37.86793332
2023-10-14 12:55:13,2023-10-14 13:57:32,temp-0.3,gpt-4,0.3,sat-math-100,100,0.95,58709,277832,336541,3365.41,18.43119,0.1843118999999999,3738.68166,37.3868166
2023-10-14 13:57:32,2023-10-14 14:48:43,temp-0.4,gpt-4,0.4,sat-math-100,100,0.94,59266,278600,337866,3378.66,18.49398,0.1849398,3070.999717,30.70999717
2023-10-14 14:48:43,2023-10-14 15:31:23,temp-0.5,gpt-4,0.5,sat-math-100,100,0.97,59948,280732,340680,3406.8,18.64236,0.1864235999999999,2560.38606,25.6038606
2023-10-14 15:31:23,2023-10-14 16:25:40,temp-0.6,gpt-4,0.6,sat-math-100,100,0.94,59397,284001,343398,3433.98,18.82197,0.1882196999999999,3257.008213,32.57008213
2023-10-14 16:25:40,2023-10-14 17:11:47,temp-0.7,gpt-4,0.7,sat-math-100,100,0.96,59948,290463,350411,3504.11,19.22622,0.1922621999999999,2766.641035,27.66641035
2023-10-14 17:11:47,2023-10-14 17:57:45,temp-0.8,gpt-4,0.8,sat-math-100,100,0.96,59948,289644,349592,3495.92,19.17708,0.1917708,2758.233351,27.58233351
2023-10-14 17:57:45,2023-10-14 18:42:40,temp-0.9,gpt-4,0.9,sat-math-100,100,0.97,59948,291792,351740,3517.4,19.30596,0.1930596,2695.293636,26.95293636
2023-10-14 18:42:40,2023-10-14 19:32:21,temp-1.0,gpt-4,1.0,sat-math-100,100,0.96,59948,301613,361561,3615.61,19.89522,0.1989522,2981.219233,29.81219233
